기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
2001.01 ,서울시,-4.2,-0.8,6.8,-7.8,-18.6,39.4,62.6,36,1024.1,-10.5,4.09,97,2.2,6.6
2001.02 ,서울시,-0.3,3.7,12.2,-3.7,-10.4,45.7,61,15,1024.4,-7.7,4.44,117,2.1,6.3
2001.03 ,서울시,5,9.6,21,0.9,-6.1,18.1,61.2,9,1015.3,-5,4.45,151,2.8,8.9
2001.04 ,서울시,13.6,19.2,28.2,8.7,2.1,12.3,59.3,11,1015.5,2.3,4.19,177.8,2.5,8
2001.05 ,서울시,19.1,24.7,31.5,14.8,10.4,16.5,64.1,16,1010.3,10.6,5.06,163.1,2.1,7.2
2001.06 ,서울시,22.5,27.1,32.7,19.2,15.6,157.4,71,25,1007.2,16.4,6.56,100.9,1.6,5.9
2001.07 ,서울시,25.9,29.9,32.8,22.9,20.3,698.4,79.8,37,1007,21,7.24,82.4,1.4,6
2001.08 ,서울시,26.5,30.8,35.3,22.8,19.4,252,77.4,19,1009.4,20,4.77,168.7,1,4.6
2001.09 ,서울시,22.5,27.5,31.7,17.9,11,49.3,71,20,1014.4,13.3,3.91,179.6,1.1,5.3
2001.10 ,서울시,16.5,21,25.3,12.4,8.8,68.2,66.2,21,1018.3,9.5,3.89,126.8,1.3,5.7
2001.11 ,서울시,7,11.5,16,2.9,-3.1,13,64.6,17,1022,-1.2,2.61,118.1,1.7,6.2
2001.12 ,서울시,-0.6,3.4,10.9,-4,-8.8,15.7,63.8,15,1027.6,-10.4,3.15,122.9,2.1,7.6
2002.01 ,서울시,0.3,3.9,13.5,-2.9,-12,37.4,63,22,1021,-6.4,4.1,100.5,2.3,7.9
2002.02 ,서울시,2.9,7.1,12.6,-0.8,-5.1,2.4,55,13,1023.8,-6,3.8,103.9,2,7.4
2002.03 ,서울시,7.6,12.4,19.4,3.6,-2.9,31.5,55,10,1016.8,-1.7,4.3,128.6,2.1,6.3
2002.04 ,서울시,13.6,18.6,27.7,8.8,4.3,155.1,53,8,1014.5,3.2,3.8,172.4,2.3,11.7
2002.05 ,서울시,18.2,23.5,27.7,13.3,10,58,62,12,1011.7,10,4.8,175,2.3,7.5
2002.06 ,서울시,22.2,27.3,32,17.9,14.5,61.4,62,21,1007.6,13.9,4.5,162.9,2,8.6
2002.07 ,서울시,25.2,28.8,34.8,22.2,18.9,220.6,74,43,1004.5,20.1,7.1,84.1,2.1,7
2002.08 ,서울시,24.2,27.5,32.2,21.4,17.9,688,79,36,1008,20.1,8.1,52.4,2,10.4
2002.09 ,서울시,21.6,26.1,30.6,17.8,13.5,61.1,67,21,1014.4,14.7,4.8,119.4,1.6,8.9
2002.10 ,서울시,12.8,17.7,24.9,8.8,-0.3,45,60,17,1018,4.8,3.7,146.7,2,10
2002.11 ,서울시,4,8,16.7,0.3,-4.8,12.5,55,16,1021.9,-4.4,3.7,94.5,2.4,9.8
2002.12 ,서울시,1.7,5.3,15.9,-1.6,-9.1,15,60,21,1025.8,-5.9,5,81,2.2,7.1
2003.01 ,서울시,-2.5,1.1,8.7,-5.8,-15.5,14.1,60,21,1023.9,-8.6,3.8,92.3,2.5,9
2003.02 ,서울시,2.7,6.6,11.9,-0.7,-8.3,39.6,62,17,1022.5,-5.1,4.6,95,2.2,7.6
2003.03 ,서울시,6.5,10.6,20.9,2.9,-5,26.8,58,19,1021.1,-0.9,5.4,104.3,2.3,7.5
2003.04 ,서울시,13.2,17.9,24.6,9,4.8,139.6,60,13,1014.9,4.9,5.4,125.8,2.5,9
2003.05 ,서울시,19.6,25,30.4,14.4,8.5,106,57,15,1012.4,11.1,4.4,170.7,1.8,7.8
