date,Year,Month,heatindex
20050703,2005 여름,7,21.65
20050704,2005 여름,7,24.02
20050705,2005 여름,7,23.14
20050706,2005 여름,7,24.51
20050707,2005 여름,7,24.2
20050708,2005 여름,7,25.05
20050709,2005 여름,7,22.52
20050710,2005 여름,7,23.63
20050711,2005 여름,7,20.98
20050712,2005 여름,7,22.87
20050713,2005 여름,7,23.33
20050714,2005 여름,7,25.01
20050715,2005 여름,7,25.61
20050716,2005 여름,7,26.07
20050717,2005 여름,7,24.86
20050718,2005 여름,7,26.28
20050719,2005 여름,7,26.49
20050720,2005 여름,7,29.11
20050721,2005 여름,7,29.2
20050722,2005 여름,7,32.19
20050723,2005 여름,7,34.6
20050724,2005 여름,7,33.44
20050725,2005 여름,7,30.54
20050726,2005 여름,7,29.4
20050727,2005 여름,7,28.94
20050728,2005 여름,7,23.31
20050729,2005 여름,7,25.16
20050730,2005 여름,7,26.16
20050731,2005 여름,7,28.69
20050801,2005 여름,8,25.19
20050802,2005 여름,8,26.41
20050803,2005 여름,8,24.73
20050804,2005 여름,8,31.41
20050805,2005 여름,8,33.38
20050806,2005 여름,8,32.83
20050807,2005 여름,8,29.06
20050808,2005 여름,8,26.18
20050809,2005 여름,8,26.42
20050810,2005 여름,8,25.19
20050811,2005 여름,8,25.06
20050812,2005 여름,8,25.91
20050813,2005 여름,8,29.79
20050814,2005 여름,8,30.08
20050815,2005 여름,8,29.92
20050816,2005 여름,8,31.8
20050817,2005 여름,8,31.53
20050818,2005 여름,8,25.92
20050819,2005 여름,8,21.73
20050820,2005 여름,8,22.96
20050821,2005 여름,8,23.83
20050822,2005 여름,8,23.23
20050823,2005 여름,8,24.08
20050824,2005 여름,8,21.11
20050825,2005 여름,8,17.51
20050826,2005 여름,8,20.81
20050827,2005 여름,8,23.6
20050828,2005 여름,8,22.96
20050829,2005 여름,8,24.57
20050830,2005 여름,8,24.19
20050831,2005 여름,8,25.4
20060601,2006 여름,6,22.64
20060602,2006 여름,6,25.6
20060603,2006 여름,6,23.65
20060604,2006 여름,6,20.89
20060605,2006 여름,6,21.25
20060606,2006 여름,6,21.85
20060607,2006 여름,6,21.84
20060608,2006 여름,6,20.5
20060609,2006 여름,6,20.68
20060610,2006 여름,6,17.7
20060611,2006 여름,6,16.77
20060612,2006 여름,6,20.85
20060613,2006 여름,6,23.52
20060614,2006 여름,6,19.2
20060615,2006 여름,6,18.71
20060616,2006 여름,6,21.11
20060617,2006 여름,6,22.31
20060618,2006 여름,6,21.59
20060619,2006 여름,6,22.52
20060620,2006 여름,6,22.63
20060621,2006 여름,6,19.39
20060622,2006 여름,6,22.42
20060623,2006 여름,6,23.9
20060624,2006 여름,6,24.27
20060625,2006 여름,6,24.78
20060626,2006 여름,6,20.51
20060627,2006 여름,6,21.04
20060628,2006 여름,6,23.56
20060629,2006 여름,6,24.91
20060630,2006 여름,6,23.28
20060701,2006 여름,7,22.63
20060702,2006 여름,7,22.84
20060703,2006 여름,7,24.08
20060704,2006 여름,7,22.65
20060705,2006 여름,7,21.54
20060706,2006 여름,7,21.05
20060707,2006 여름,7,22.79
20060708,2006 여름,7,25.22
20060709,2006 여름,7,25.76
20060710,2006 여름,7,23.97
20060711,2006 여름,7,24.61
20060712,2006 여름,7,23.67
20060713,2006 여름,7,25.02
20060714,2006 여름,7,29.73
20060715,2006 여름,7,24.62
20060716,2006 여름,7,18.87
20060717,2006 여름,7,19.28
20060718,2006 여름,7,19.04
